pos,bib,name,team,category,rank,nationality,time,timediff,Col de Voza,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Arête Mont-Favre,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Peulaz,La Fouly,Praz de Fort,Champex Lac,Bovine,Trient,Les Tseppes,Vallorcine,Argentière,Chamonix - Arrivée,col de voza_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,arête mont-favre_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la peulaz_pos,la fouly_pos,praz de fort_pos,champex lac_pos,bovine_pos,trient_pos,les tseppes_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
0,3,OLMO Marco,M&amp;AMP;P RISK AGENCI,V2 H,1,IT,21:06:06,00:00:00.000000,1925,714,679,381,622,731,765,820,1016,28645,931,1059,1196,1130,,1210,1318,1014,0,0,58891,0,0,0,1703,8,2,3,3,2,3,3,3,22,3,3,3,3,-1,3,3,3,1,1,34,1,1,1
1,3021,NEMETH Csaba,E.G. MOUNTEX,SE H,2,HU,21:37:32,00:31:26.000000,1680,187,0,26,128,0,10,43,252,28152,15,121,199,324,,626,722,550,349,777,59952,1804,1880,1886,8,1919,1916,2,112,3,2,2,2,25,2,2,2,2,-1,2,2,2,2,2,3,2,2,2
2,2,DELEBARRE Vincent,TRAILERS DU MONT BLANC - CMBM - QUECHUA - EMHM - CMBM,SE H,3,FR,21:59:29,00:53:23.000000,1836,272,242,0,0,157,0,0,0,27798,0,0,0,0,,0,0,0,702,3129,18840,3741,3557,3203,1907,7,8,559,1915,1888,1595,1,1896,19,1,1,1,1,-1,1,1,1,3,3,1,3,3,3
3,3277,LUKAS Jens,LSG KARLSRUHE,V1 H,4,DE,22:15:15,01:09:09.000000,2231,1166,1659,1914,2312,3275,3313,3857,4013,31755,4351,3984,3981,4210,,4128,4200,4201,4193,4383,63268,4254,4195,4149,2,1914,6,555,2,1,1,1871,1,1888,9,9,9,8,-1,8,4,4,4,4,2,4,4,4
4,5,MILLET Guillaume,,SE H,5,FR,22:54:11,01:48:05.000000,2077,1100,1380,1240,1503,2155,2299,2654,2773,30468,2993,3125,3181,3566,,3976,4202,4236,4661,5122,64271,5703,5986,6485,6,6,3,8,8,1905,1609,1888,1913,29,8,8,8,9,-1,5,5,5,5,5,4,5,5,5
5,14,GRIVEL Stephane,CHEVALIERS DU VENT,SE H,6,FR,23:25:06,02:19:00.000000,1680,182,164,455,916,2635,2967,3777,4230,122,5125,5188,5528,5881,,6356,6286,6673,7490,7592,66554,7862,8167,8340,1912,2,9,1,1898,8,8,8,8,81,5,5,5,5,-1,4,8,8,8,7,5,7,7,6
6,23,STAUB Vincent,LES TROTTEURS,SE H,7,CH,23:26:38,02:20:32.000000,1694,90,537,675,1081,1889,2072,2300,2636,30382,3397,3715,3779,4188,,4537,5175,5158,5863,6431,65590,7342,8027,8432,7,12,112,6,1,111,1429,9,1709,20,7,7,7,7,-1,7,7,7,7,8,7,6,6,7
7,1669,MERMOUD Nicolas,ELIX,V1 H,8,FR,23:40:36,02:34:30.000000,1615,0,162,158,257,1182,1220,1559,1830,29553,2456,3014,2942,3228,,3794,4882,5005,5842,6755,66439,7924,8658,9270,1213,3,1898,527,1711,9,9,1689,9,28,112,4,4,4,-1,9,9,9,9,9,8,8,8,8
8,1002,OULEDI WILFRID,TESB,SE H,9,FR,23:42:56,02:36:50.000000,1783,273,367,525,959,1469,1576,1942,2323,30344,2426,2584,2695,3419,,4558,5346,5643,6699,7343,66731,8609,8798,9410,12,9,7,9,6,1701,112,1211,7,1156,39,39,10,39,-1,10,10,10,10,6,6,9,9,9
9,2608,LLONCH CASASAMPERA Enric,CENTRE EXCURSIONISTA TORELLO,SE H,10,ES,23:53:02,02:46:56.000000,2238,1165,1372,1245,1670,2369,2597,3249,3599,31335,4032,4049,4314,5079,,5660,5906,6029,6943,7925,67340,8670,9365,10016,9,1896,1711,7,9,1210,1011,7,1217,131,1706,10,39,10,-1,11,6,6,6,10,9,10,10,10
