pos,bib,name,team,category,rank,nationality,time,timediff,La Charme,Saint-Gervais,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Fouly,Champex Lac,Bovine,Trient,Catogne,Vallorcine,Argentière,Chamonix - Arrivée,la charme_pos,saint-gervais_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la fouly_pos,champex lac_pos,bovine_pos,trient_pos,catogne_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
0,1,OLMO Marco,,V2 H,1,IT,21:31:58,00:00:00.000000,365,719,994,910,980,1319,769,893,990,1063,760,873,1050,740,605,85,0,0,0,0,0,0,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
1,4,LUKAS Jens,LSG KARLSRUHE,V1 H,2,DE,22:23:55,00:51:57.000000,672,912,1432,1804,,2856,2787,3071,3496,3881,4042,3676,3888,3554,3538,3156,3506,3606,3300,3253,3257,3117,1759,1463,1737,1756,-1,1441,1216,1439,1584,1624,1625,1441,1441,1442,1442,1,3,3,3,3,3,2
2,8,MERMOUD Nicolas,,V1 H,3,FR,22:30:51,00:58:53.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,1363,2040,2175,2817,3533,7,1760,7,1754,7,8,1382,1622,1,1,1,1624,1624,1,1,1440,5,5,2,2,2,3
3,3650,BONAUDO Samuel,TEAM SALOMON,SE H,4,FR,22:48:52,01:16:54.000000,371,739,986,928,,1462,2502,2739,3097,3045,3109,2869,2948,3137,2800,2639,3626,3728,4380,4490,4554,4614,5,1758,1447,1438,-1,1624,1,1,1407,1441,1442,1,1,5,5,5,2,2,5,5,4,4
4,1543,SHERPA Dachhiri-Dawa,TEAM QUECHUA - APACHE,SE H,5,NP,23:00:43,01:28:45.000000,253,529,632,797,887,1109,895,1048,1352,1577,1541,1498,1619,1425,1646,1752,2243,3473,3900,4288,4644,5325,9,7,1425,7,9,5,5,5,5,5,5,5,5,1625,4,4,4,4,4,4,5,5
5,5,MILLET Guillaume,,SE H,6,FR,23:40:43,02:08:45.000000,648,1020,1565,1775,,2553,2713,2906,3419,3664,3587,3498,3694,3582,3598,3804,4964,5552,6060,6755,7297,7725,1442,8,5,8,-1,7,1502,1754,7,7,7,24,24,24,24,2,1430,7,7,7,7,6
6,1532,JAQUEROD Christophe,TEAM LAFUMA,V1 H,6,CH,23:40:43,02:08:45.000000,252,472,541,676,963,1142,1166,1310,1784,1955,2217,3018,3639,4377,4740,4460,5035,5316,5820,5997,6701,7725,1761,1441,1739,1460,3,1758,1504,7,1712,1462,1626,1625,4,4,2,9,9,10,9,9,9,7
7,3567,POWELL Alun,PUDSEY &amp; BRAMLEY AC,SE H,8,GB,23:51:34,02:19:36.000000,309,480,717,731,969,1076,1149,1336,2142,2566,3126,3340,3677,3925,4194,4929,6851,7266,7800,8167,8534,8376,1464,9,8,1620,10,1760,8,1756,1427,25,24,4,1625,2,10,10,6,6,6,10,6,8
8,3737,OLIVAR ROLDAN Aurelio-Antonio,TRAIL MAGAZINE,SE H,9,ES,23:58:34,02:26:36.000000,256,528,728,943,,2699,3401,3866,4578,5573,5222,4612,4467,3885,3733,3170,3785,5702,5940,6268,6895,8796,1462,5,9,5,-1,1,7,8,25,1758,42,7,7,6,11,24,7,9,10,6,10,9
9,2040,DARMAILLACQ Nicolas,GIPSPORT AVENTURE,SE H,10,FR,24:02:01,02:30:03.000000,1087,1459,2375,3055,,3948,3911,3949,4034,4388,3966,4083,4111,3709,3545,3470,5268,5510,6120,6404,8339,9003,8,1461,1606,25,-1,25,1237,25,8,8,4,8,8,11,6,11,10,11,8,8,8,10
10,1531,GUILLON Antoine,GO2-LA SPORTIVA-TAILL'AVENTURE,SE H,11,FR,24:03:26,02:31:28.000000,723,1049,1556,1867,,2676,3016,3143,3555,3665,3589,3499,3679,3583,3593,3601,5273,6169,8880,9102,9163,9088,1625,14,14,1,-1,4,24,1460,1714,1759,8,25,11,1626,9,6,11,8,13,11,11,11
11,1504,KABURAKI Tsuyoshi,TEAM THE NORTH FACE,SE H,12,JP,24:24:25,02:52:27.000000,661,970,1461,1688,,2914,3398,3800,4575,5293,5279,4937,5272,5235,5763,6200,7579,8526,9000,9116,9662,10347,16,78,2025,14,-1,1463,1383,1755,1713,24,25,1462,6,10,8,7,8,1439,11,12,12,12
12,3755,GIRARD Matthieu,UFO,SE H,13,CH,24:32:17,03:00:19.000000,499,794,1245,1674,,2528,2747,3138,3718,4037,4156,4443,4764,4584,5111,5807,6900,7689,8340,9222,10037,10819,1,1,4,4,-1,1776,1503,1623,24,42,1463,42,2,9,7,8,13,13,12,13,13,13
