pos,bib,name,category,Delevret,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checrouit,Courmayeur,Courmayeur.1,Bertone,Arnouvaz,Col Ferret,La Fouly,Champex,La Giète,Trient,Tseppes,Vallorcine,Vallorcine.1,T.auxVents,La Flégère,Chamonix,delevret_pos,st-gervais_pos,contamines_pos,la balme_pos,bonhomme_pos,chapieux_pos,col seigne_pos,lac combal_pos,mt-favre_pos,checrouit_pos,courmayeur_pos,courmayeur.1_pos,bertone_pos,arnouvaz_pos,col ferret_pos,la fouly_pos,champex_pos,la giète_pos,trient_pos,tseppes_pos,vallorcine_pos,vallorcine.1_pos,t.auxvents_pos,la flégère_pos,chamonix_pos
1,18,D'HAENE François,SE H,33,58,171,1,3,0,1016,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,2209,1910,1909,1729,1,889,1,1728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,35,DUNAND-PALLAZ Aurélien,SE H,27,71,268,12,77,175,1474,523,633,675,675,641,652,342,587,474,708,955,826,1038,793,915,805,838,751,2,1620,1725,1,1,1729,1,1728,1,1726,1727,1728,1728,2,2,5,2,2,2,2,2,2,2,2,2
3,59,BLANCHARD Mathieu,SE H,108,189,461,165,250,469,2007,1283,1434,1534,1571,1421,1466,1256,1531,1818,2093,1768,1677,1615,1473,1470,1514,1685,1604,1890,1719,1724,1728,1912,1728,1721,5,1727,5,1726,1727,2,5,5,2,5,3,3,3,3,3,3,3,3
4,34,POMMERET Ludovic,V1 H,68,49,401,583,908,1048,2704,1873,2179,2239,2274,2266,2641,2504,2633,2630,2976,3120,3212,3335,3318,3337,3339,3416,3165,1,1903,1,1911,5,2,5,2,2,2,2,5,1727,3,3,3,3,5,5,5,5,5,4,4,4
5,24,GRANGIER Germain,SE H,36,64,183,9,75,180,1468,522,652,674,678,617,670,348,589,447,959,1798,1975,2583,2861,2946,3582,3723,4007,2124,4,1908,1727,2,1912,2,1727,5,1725,5,2,5,1727,4,4,4,4,4,4,4,4,5,5,5
6,19,NAMBERGER Hannes,SE H,165,189,722,688,1044,1186,2745,1914,2233,2267,2304,2361,2763,3005,3827,3928,4125,4746,4827,5299,5337,5384,5703,5783,5766,1712,1720,5,5,1728,5,1904,1911,1909,1909,3,3,3,4,8,9,6,6,6,7,7,7,6,6,6
7,3,DAUWALTER Courtney,SE F,359,616,1184,1177,1568,1882,3528,3060,3268,3509,3786,3912,3981,4042,4410,4525,4886,5037,5109,5245,5280,5324,5903,6207,6295,2193,1,1912,2,3,3,1720,3,3,3,1910,1872,1872,9,9,6,9,7,7,6,6,6,7,7,7
8,48,CURMER Gregoire,SE H,68,82,398,414,914,1062,2743,1871,2231,2265,2273,2329,2760,2991,3812,4018,4848,6104,6216,6678,6705,6821,7433,7883,8050,5,1905,1626,1628,46,46,3,1872,1870,1870,1871,46,46,8,6,8,8,8,9,9,9,8,8,9,8
8,54,PAZOS Diego,SE H,77,84,395,414,912,1049,2703,1877,2192,2264,2325,2266,2757,2987,3820,3916,4847,6316,6205,6676,6693,6823,7502,7875,8050,1894,5,2,3,1629,1629,1865,46,46,46,46,1629,4,6,15,15,7,10,8,8,8,9,9,8,9
10,87,CLÉMENT Mathieu,SE H,219,338,853,913,1308,1496,3351,2816,3169,3377,3661,3630,3934,4150,4707,4883,5651,6309,6384,6916,7030,7137,8130,8227,8526,18,1908,2144,1888,1914,1891,46,1890,1888,1888,1889,4,9,15,1628,7,15,9,10,10,10,10,10,10,10
