pos,bib,name,team,category,rank,nationality,time,timediff
0,47,SHERPA Dachhiri-Dawa,TEAM FILA,SEH,1,NP,20:05:58,00:00.0
1,8,GAYLORD Topher,THE NORTH FACE,SEH,2,US,22:15:17,09:19.0
2,301,SYBROWSKY Brandon,TEAM MONTRAIL,SEH,2,US,22:15:17,09:19.0
3,375,SCHNEIDER Giselher,LG-CHIEMGAU SÜD,V1H,1,DE,23:37:17,31:19.0
4,457,SCHWEIZER Werner,FOULEE GLAND,V3H,1,CH,24:18:36,12:38.0
5,444,BOEBION Daniel,,V2H,1,Fr,24:51:42,45:44.0
6,469,GONDAS Ondrej,SV JENESIEN RAIFFEISEN,V2H,2,SI,24:51:42,45:44.0
7,194,HOBLEA Fabien,CHAMBERY TRIATHLON,SEH,4,Fr,24:53:43,47:45.0
8,543,COUMENGES Regis,TRI OLYMPIQUE CLUB CESSONNAIS,SEH,5,FR,25:33:41,27:43.0
9,569,TECHER Henri,GAZELLES &amp; GALOPINS,SEH,6,FR,26:32:08,26:10.0
10,740,FAVRE-FELIX Lionel,,SEH,7,FR,26:35:54,29:56.0
11,17,BONNOTTE Eric,UFO,SEH,8,FR,27:26:27,20:29.0
12,651,PIGEAULT Jean-Luc,COURIR A VOREPPE,V1H,2,FR,27:26:27,20:29.0
13,413,BOUDAY Luc,CNP PONTARLIER,V2H,3,FR,27:44:06,38:08.0
14,510,LESEURRE Jerome,,SEH,9,FR,27:45:12,39:14.0
15,203,VUILLEMENOT Roland,ULTRA MAARATHON FRANCE,V2H,4,Fr,28:18:54,12:56.0
16,1,POLETTI Michel,UFO / CHAMONIX-MONT-BLANC-MARATHON,V1H,3,FR,28:31:02,25:04.0
17,71,BERTONE Silvio,ATLETICA RIVOLI S.GIUSEPPE,SEH,10,IT,28:31:02,25:04.0
18,351,DELEMONTEZ Didier,FAUCIGNY ATHLETIC CLUB,V1H,4,FR,29:02:07,56:09.0
19,161,CORDIER Eric,,V1H,5,Fr,29:15:53,09:55.0
20,426,DESCHAMPS Patrick,PRAZ MONTAGNE,V2H,5,FR,29:15:53,09:55.0
21,499,ANTOINE Bernard,ASRHV,SEH,11,Fr,29:15:53,09:55.0
22,616,STICKLAND Rex,INVICTA EAST KENT AC,V2H,6,GB,29:27:18,21:20.0
23,303,MOEHL Kristin,TEAM MONTRAIL,SEF,1,US,29:38:23,32:25.0
24,596,SAULET Bruno,,SEH,12,Fr,29:40:18,34:20.0
25,66,DELAUNAY Fabrice,UFO,SEH,13,FR,30:47:11,41:13.0
26,35,WEISS Georg,LG Rosbach-Rodheim,V1H,6,DE,30:59:18,53:20.0
27,175,LALY Gery,,SEH,14,Fr,31:14:49,08:51.0
28,32,ARTIGAS Josep,,V1H,7,ES,31:31:52,25:54.0
29,63,LENAERTS Edwin,LES COUREURS CELESTES,SEH,15,BE,31:31:52,25:54.0
30,196,BAUER Daniel,FFME DU VIGAN (club escalade),SEH,16,FR,32:13:00,07:02.0
31,222,GROSLAMBERT Daniel,ESPACE MORTEAU,V1H,8,Fr,32:13:00,07:02.0
32,721,BAIS-LE-ROUX Anne-Marie,,V1F,1,Fr,32:19:36,13:38.0
33,111,SCHRAMECK Michel,PEACE MESSENGERS,SEH,17,Fr,32:44:55,38:57.0
34,639,ADDIS ANDREW,MACCLESFIELD HARRIERS,V1H,9,GB,32:48:46,42:48.0
35,690,RINGEVAL Bruno,UFO,V1H,10,FR,32:56:51,50:53.0
36,384,GAUTHIER Monique,USO CHELLES JOGGING,V1F,2,Fr,33:03:55,57:57.0
37,617,MATTONE Valentino,ALBA DOCILIA,V2H,7,IT,33:03:55,57:57.0
38,672,CABELLOS Marie-Laure,,V1F,3,Fr,33:45:14,39:16.0
39,494,LESERVOISIER patrick,OXYGENE -  LAYDERNIER,SEH,18,FR,34:10:25,04:27.0
40,173,LAPERROUSAZ Pascal,THONON CAP ENDURANCE,V1H,11,FR,34:17:04,11:06.0
41,621,COURTIADE Michel,,V1H,12,Fr,34:17:21,11:23.0
