pos,bib,name,team,category,rank,nationality,time,timediff,Delevre,st Ger,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,M Favre,Checrou,Courm,Bertone,Bonatti,Arnuva,Ferret,Fouly,Champex,Bovine,Trient,Catogne,Vallo,T. Vent,Flégère,Cham
0,2216,CLEMENT Benoît, ,V1 H,1, , , ,01:53:45,02:52:44,,,,,,,,,,,,,,,,,,,,,,
1,3018,AGUETTAZ Christophe, ,V1 H,2, , , ,01:57:42,03:00:38,,,,,,,,,,,,,,,,,,,,,,
2,3913,PECH Philippe, ,V1 H,3, , , ,01:55:20,02:52:30,,,,,,,,,,,,,,,,,,,,,,
3,9,GIRAUD-SAUVEUR Herve, ,V1 H,4, , , ,01:21:04,01:59:00,,,,,,,,,,,,,,,,,,,,,,
4,2879,CARREIN Olivier, ,V1 H,5, , , ,02:03:19,03:01:28,,,,,,,,,,,,,,,,,,,,,,
5,2030,D'HAENE François, ,SE H,6, , , ,01:23:00,02:00:18,,,,,,,,,,,,,,,,,,,,,,
6,2015,SIDERIDIS Nikolaos, ,SE H,7, , , ,01:23:51,02:01:08,,,,,,,,,,,,,,,,,,,,,,
7,106,PALOUS Philippe, ,V1 H,8, , , ,01:35:54,02:17:59,,,,,,,,,,,,,,,,,,,,,,
8,210,SALMON Claude, ,V1 H,9, , , ,01:55:43,02:49:05,,,,,,,,,,,,,,,,,,,,,,
9,3846,BAECHELEN Frederic, ,SE H,10, , , ,02:02:21,02:59:55,,,,,,,,,,,,,,,,,,,,,,
10,3029,BEAUFRETON Vincent, ,SE H,11, , , ,02:11:58,03:12:27,,,,,,,,,,,,,,,,,,,,,,
11,66,CRIADO TOCA Pablo, ,SE H,12, , , ,01:28:56,02:08:57,,,,,,,,,,,,,,,,,,,,,,
12,2333,GILARDI Federico, ,SE H,13, , , ,02:02:23,02:59:58,,,,,,,,,,,,,,,,,,,,,,
13,3822,TOMAS CASADO Joaquim, ,SE H,14, , , ,02:11:35,03:25:00,,,,,,,,,,,,,,,,,,,,,,
14,3855,CAILLE Nicolas, ,V1 H,15, , , ,02:09:28,03:13:41,,,,,,,,,,,,,,,,,,,,,,
15,3233,EDO PERSONAT Irene, ,SE F,16, , , ,02:20:03,03:36:34,,,,,,,,,,,,,,,,,,,,,,
16,2367,HOCQUART Jean-Brice, ,SE H,17, , , ,01:40:03,02:26:40,,,,,,,,,,,,,,,,,,,,,,
17,1284,JOUFFROY Romain, ,SE H,18, , , ,01:59:27,02:49:34,,,,,,,,,,,,,,,,,,,,,,
18,2908,GILBERT Dustin, ,V1 H,19, , , ,02:16:05,03:28:30,,,,,,,,,,,,,,,,,,,,,,
19,3485,NATHAN Elie, ,V1 H,20, , , ,02:02:43,02:58:32,,,,,,,,,,,,,,,,,,,,,,
20,950,COLIN Philippe, ,V1 H,21, , , ,01:58:19,02:59:44,,,,,,,,,,,,,,,,,,,,,,
21,3129,LAGAR Jean-Pierre, ,V1 H,22, , , ,02:16:13,03:28:33,,,,,,,,,,,,,,,,,,,,,,
22,1031,PECCLET Pascal, ,V1 H,23, , , ,02:11:46,03:22:32,,,,,,,,,,,,,,,,,,,,,,
23,2601,TURZO Marc, ,V1 H,24, , , ,01:57:04,02:52:31,,,,,,,,,,,,,,,,,,,,,,
24,552,BOUILLET Jean, ,V1 H,25, , , ,01:51:18,02:45:49,,,,,,,,,,,,,,,,,,,,,,
25,3227,ARIAS Nereida, ,SE F,26, , , ,02:40:06,04:01:04,,,,,,,,,,,,,,,,,,,,,,
26,3597,GOMES Pascal, ,V1 H,27, , , ,02:09:13,03:11:01,,,,,,,,,,,,,,,,,,,,,,
27,4011,MENDES Michel, ,V2 H,28, , , ,02:09:13,03:15:43,,,,,,,,,,,,,,,,,,,,,,
28,3885,LASCAUX Didier, ,V1 H,29, , , ,02:24:33,03:46:26,,,,,,,,,,,,,,,,,,,,,,
29,2795,PEREZ Roland, ,V2 H,30, , , ,02:22:00,03:39:55,,,,,,,,,,,,,,,,,,,,,,
30,2673,BOHNET Christophe, ,V1 H,31, , , ,01:54:01,02:49:17,,,,,,,,,,,,,,,,,,,,,,
31,2901,FAVEY Sébastien, ,SE H,32, , , ,02:15:32,03:26:31,,,,,,,,,,,,,,,,,,,,,,
32,2685,CHAPEL Thierry, ,V1 H,33, , , ,02:16:40,03:26:11,,,,,,,,,,,,,,,,,,,,,,
33,2846,FAVEY Sidonie, ,SE F,33, , , ,02:15:48,03:26:28,,,,,,,,,,,,,,,,,,,,,,
34,3647,PIERLOVISI Xavier, ,V2 H,35, , , ,01:59:20,02:57:14,,,,,,,,,,,,,,,,,,,,,,
35,3265,CHARBERET Etienne, ,SE H,36, , , ,01:40:04,02:26:40,,,,,,,,,,,,,,,,,,,,,,
36,300,MAGNIN Pierre-André, ,V1 H,37, , , ,01:42:51,02:31:16,,,,,,,,,,,,,,,,,,,,,,
37,2462,MESSNER Toni, ,V1 H,38, , , ,01:41:57,02:28:34,,,,,,,,,,,,,,,,,,,,,,
38,511,LAVIE Jean-Marc, ,V2 H,39, , , ,02:03:18,03:00:13,,,,,,,,,,,,,,,,,,,,,,
39,1145,PAUL Mathias, ,V2 H,40, , , ,02:19:57,03:39:21,,,,,,,,,,,,,,,,,,,,,,
40,3934,TEBOUL Frederic, ,V2 H,41, , , ,02:15:00,03:20:45,,,,,,,,,,,,,,,,,,,,,,
41,2529,PONCIN Philippe, ,V2 H,42, , , ,02:15:23,03:27:26,,,,,,,,,,,,,,,,,,,,,,
42,3768,HUGLA Sebastien, ,V1 H,43, , , ,01:58:09,02:55:26,,,,,,,,,,,,,,,,,,,,,,
43,2318,GANTENBEIN Julien, ,SE H,44, , , ,01:30:13,02:13:16,,,,,,,,,,,,,,,,,,,,,,
44,2472,MISCHLER Gregoire, ,V1 H,45, , , ,02:05:59,03:13:10,,,,,,,,,,,,,,,,,,,,,,
45,2696,CUMBO Vincent, ,V2 H,46, , , ,02:05:29,03:01:21,,,,,,,,,,,,,,,,,,,,,,
46,2499,PAIMPARAY christophe, ,SE H,47, , , ,02:10:41,03:26:46,,,,,,,,,,,,,,,,,,,,,,
47,4313,SUPPES Tim, ,SE H,48, , , ,01:40:55,02:25:42,,,,,,,,,,,,,,,,,,,,,,
48,1006,MARTINS Cyril, ,SE H,49, , , ,02:14:36,03:22:10,,,,,,,,,,,,,,,,,,,,,,
49,2777,MEREGHETTI Ercole, ,V2 H,50, , , ,02:46:37,04:06:46,,,,,,,,,,,,,,,,,,,,,,
50,4251,MEREGHETTI Marco, ,V2 H,51, , , ,02:29:33,03:51:21,,,,,,,,,,,,,,,,,,,,,,
51,3347,PINTUR Jean-Christophe, ,SE H,52, , , ,02:06:09,03:14:18,,,,,,,,,,,,,,,,,,,,,,
