pos,bib,name,team,category,rank,nationality,time,timediff,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Bovine,Trient,Catogne,Vallo,TaVents,Flégère,Arrivé,delev_pos,stger_pos,conta_pos,balme_pos,bonhom_pos,chapieu_pos,seigne_pos,combal_pos,mtfavre_pos,checrou_pos,courm_pos,bertone_pos,bonatti_pos,arnuva_pos,gdcolf_pos,fouly_pos,champex_pos,bovine_pos,trient_pos,catogne_pos,vallo_pos,tavents_pos,flégère_pos,arrivé_pos
0,2212,THEVENARD Xavier,ASICS,SE H,1,FR,20:34:57,00:00:00,146,208,91,39,0,0,,0,109,13,1,360,337,264,83,0,0,0,0,0,0,0,0,0,6,6,6,6,1,1,-1,1,1711,6,2,2,1689,1711,1711,1,1,1,1,1,1,1,1,1
1,2202,HERAS HERNANDEZ Miguel Angel,SALOMON,SE H,2,ES,20:54:08,00:19:11,198,380,331,198,84,57,,10,3,9,0,0,7,3,367,588,499,533,708,972,1073,947,1205,1151,1824,2345,1825,1822,6,3,-1,6,6,2,1,1711,2,2,1,1711,1710,2,2,2,2,2,2,2
2,12,DOMINGUEZ LEDO Javier,KIROLAK-CM  GAZTEIZ,SE H,3,ES,21:17:38,00:42:41,299,352,294,231,111,32,,203,335,353,391,801,840,716,829,901,1419,1625,1696,2170,2301,2219,2535,2561,2241,2241,1752,1749,1824,2,-1,2,2,1707,1711,6,1,6,6,6,2,1711,3,3,3,3,3,3
3,2203,OLSON Timothy,THE NORTH FACE,SE H,4,US,21:38:23,01:03:26,196,412,511,401,155,361,,927,1086,1372,1601,2110,2505,2513,2577,3367,4187,4361,4558,4821,4843,3649,3880,3806,2345,1751,1,1,2,1825,-1,1707,1,1,6,1,6,1,2,2,6,3,6,6,6,4,4,4
4,3,FOOTE Michael,THE NORTH FACE,SE H,5,US,21:53:19,01:18:22,512,757,938,1061,1142,1355,,1819,1816,2027,2237,2522,3172,3275,3485,3981,4494,4478,4825,4819,4904,4149,4487,4702,1909,1824,2181,2,3,6,-1,3,3,3,3,3,3,3,3,3,3,6,1707,5,4,5,5,5
5,2206,CHORIER Julien,,SE H,6,FR,22:08:11,01:33:14,0,0,0,0,7,105,,7,2,0,3,243,339,263,199,542,1167,2149,2482,3449,4209,4615,5155,5594,1906,1909,2346,2178,4,1752,-1,1748,1752,1748,1752,1752,1730,1751,4,4,4,4,4,4,5,6,6,6
6,44,BOSIO Rory,THE NORTH FACE,SE F,7,US,22:37:26,02:02:29,655,941,1477,2036,2254,2431,,2985,3231,3328,3585,3982,4371,4469,4768,5369,5387,5344,5750,6406,6713,6969,7317,7349,2180,2180,3,3,1751,1711,-1,1821,1825,1821,9,4,4,4,1752,5,5,5,5,1677,7,7,7,7
7,23,COLLOMB-PATTON Bertrand,CAEN ATHLETIC CLUB,SE H,8,FR,23:14:16,02:39:19,236,331,692,935,971,1038,,1836,2115,2339,2575,3072,3739,4044,4459,5074,5494,5963,6369,6999,7456,8253,9016,9559,1751,1906,2,2026,1710,4,-1,4,4,4,4,1825,1803,1824,5,9,1688,1689,1685,7,1688,8,8,8
8,8,LEJEUNE Arnaud,"TEAM HOKA, LOU TAVAN",SE H,9,FR,23:18:05,02:43:08,191,167,361,675,814,780,,1267,1452,1451,1517,2290,2728,2791,3573,4075,4873,5987,6370,7509,8032,8860,9382,9788,2168,2168,1910,4,2179,2181,-1,9,9,9,1825,9,9,9,1825,1752,9,7,7,8,8,9,9,9
9,14,TIDD John,,V2 H,10,ES,23:18:27,02:43:30,901,1174,1732,2091,2385,2544,,3340,3802,4000,4223,4976,5418,5518,6121,6657,6961,7494,7891,8722,9006,9391,9806,9810,1,9,2029,2020,9,9,-1,2019,5,5,5,5,5,5,9,1689,1751,8,8,9,9,10,10,10
10,2207,BRAGG Jez,THE NORTH FACE,SE H,11,GB,23:50:01,03:15:04,644,873,1629,2044,2398,2758,,3879,4330,4681,4983,5760,6355,6647,7259,7771,8683,9387,9781,10554,10937,11150,11496,11704,2028,1,9,1708,2022,2023,-1,5,2023,1685,1689,8,1667,1689,1689,8,7,9,9,10,10,11,11,11
11,20,MOALIC Ronan,Team VIBRAM,V1 H,12,FR,23:54:04,03:19:07,638,778,1687,2145,2348,2510,,3786,4384,4635,4941,6391,7015,7242,8161,8484,9684,10776,11104,12033,12217,12080,12279,11947,9,64,2242,2182,2028,8,-1,8,1689,8,8,1689,8,8,8,7,8,10,10,14,11,13,13,12
12,2210,TAMANG Aite,Nepalese Army,SE H,13,NP,23:57:22,03:22:25,621,836,1362,1736,2152,2167,,2804,3070,3241,3449,4187,4597,4927,5545,6299,7874,9391,9783,11043,11264,11538,11881,12145,4,8,2185,1915,1917,1918,-1,1685,8,2019,1918,1918,7,7,7,1825,10,14,14,11,14,14,14,13
13,2645,BROGNIART Stéphane,THE NORTH FACE,SE H,14,FR,24:02:11,03:27:14,325,537,718,1108,1273,1615,,2546,2832,3240,3561,4192,4788,5074,5522,6297,7357,8225,9132,10175,11045,11603,12169,12434,1917,3,64,1907,8,1910,-1,1914,1918,1914,2023,7,13,13,14,14,14,11,11,15,13,16,12,14
14,3692,JOHANSSON Johan,TRANGSVIKEN,SE H,15,SE,24:05:33,03:30:36,610,851,1441,1913,2274,2494,,4276,4845,5186,5718,6504,7377,7594,8163,8439,9098,9760,10207,10817,11516,12091,12336,12636,2,2025,2023,9,2183,1689,-1,17,17,17,13,13,14,14,13,13,13,13,13,13,15,12,16,15
15,2226,MAYER Alexandre,RAID LIGHT,SE H,16,FR,24:05:34,03:30:37,473,772,967,1231,1642,1968,,3269,3868,4323,4955,5990,6977,7337,7847,8474,9586,10519,10831,11374,11718,11830,12324,12637,2022,1917,1918,2166,1909,17,-1,1906,31,31,17,14,145,10,10,10,11,15,15,16,16,15,15,16
16,73,JAMES Andrew,SALOMON / NEWBURY ATHLETICS CLUB,SE H,17,GB,24:14:37,03:39:40,323,538,667,861,1149,1335,,2060,2728,3101,3462,5349,6331,6978,8169,8852,9502,10132,10708,11844,12262,12757,13169,13180,8,2022,2169,64,1688,2169,-1,2020,2024,14,31,145,10,145,145,145,145,17,17,17,12,17,17,17
17,2227,TSANG Siu Keung,THE NORTH FACE,SE H,18,HK,24:15:58,03:41:01,724,978,1572,2159,2892,3120,,4914,5732,5987,6251,7743,8594,8923,9664,9940,10724,11535,11968,12778,13001,13058,13300,13261,31,2,4,17,5,5,-1,31,14,13,145,31,1896,20,20,11,15,20,16,12,17,18,18,18
18,2251,PICAS Núria,BUFF,SE F,19,ES,24:32:20,03:57:23,661,882,1289,1830,2316,2512,,3922,4566,5009,5168,6190,7119,7679,8723,9613,10523,11498,12015,12838,13255,13663,14076,14243,39,129,2026,31,17,2185,-1,14,13,145,14,1907,20,11,11,20,20,16,12,20,18,19,19,19
19,29,KEITH Eoin,Ultrarunning Ireland,V1 H,20,IE,24:44:12,04:09:15,629,850,1032,1268,1842,2054,,2941,3380,3760,4227,4972,5788,6134,6938,7848,9122,10253,11194,12636,13340,14108,14715,14955,129,4,1711,2023,2023,64,-1,13,1910,7,7,20,17,17,16,15,17,12,20,18,19,20,20,20
20,37,ROCA RODRIGUEZ Emma,CEC,V1 F,21,ES,24:48:14,04:13:17,647,938,1350,1916,2504,2852,,4393,5128,5678,6102,7089,8232,8774,9360,9952,10920,11950,12523,13647,14075,14523,15046,15197,64,1688,31,8,2168,14,-1,2012,1907,1903,1907,10,11,31,12,16,16,145,18,19,20,21,21,21
21,2241,CALISTO Gonzalo,UNIVERSIDAD SAN FRANCISCO,SE H,22,EC,25:18:26,04:43:29,555,778,1409,2160,2785,3192,,4572,4932,5436,6019,7105,7810,8356,9089,9790,10437,11561,12457,13547,14049,15167,16062,17009,2025,2028,17,1686,64,2024,-1,145,7,2020,1910,17,31,1917,15,12,12,19,19,22,22,22,22,22
22,2651,HORST Daniel,MÜCKE &amp; MCLANE - GROJOS LTF ELVERSBERG,SE H,23,DE,25:23:37,04:48:40,1448,1875,2474,3156,3966,4476,,6257,6745,7288,7899,9501,10653,11226,11651,12068,12875,14044,14656,15691,16232,16963,17398,17320,1688,2184,8,36,31,2029,-1,1903,145,1906,2024,11,16,12,17,17,22,18,22,21,21,24,24,23
23,54,JOUBAND Frederic,ROUTE ET SENTIER,V1 H,24,FR,25:25:05,04:50:08,845,1255,1929,2346,2858,3266,,5103,5774,6156,6768,8262,9291,9893,10807,11218,12134,13735,14480,15405,15764,16634,17245,17408,3,39,1689,5,14,31,-1,2025,20,20,10,16,12,16,31,19,19,22,21,24,24,23,23,24
24,4335,IRAIZOZ Aitor,TXURREGI,SE H,25,ES,25:28:26,04:53:29,1063,1486,2445,3630,4329,4778,,7005,7969,8662,9551,11838,13365,14054,15140,15926,16754,16992,16969,17566,17644,17600,17724,17609,2184,31,14,2021,36,2016,-1,2165,2029,10,20,19,19,15,19,22,18,21,24,23,23,27,25,25
25,3268,HABEMONT Jean-Lou,JOGGING CLUB SEYSSOIS,SE H,26,FR,25:34:28,04:59:31,1271,1831,2946,3878,4598,5206,,7401,8094,8681,9225,10645,11686,12172,12559,13249,15045,16639,17160,17966,18318,17988,18273,17971,1711,2188,36,14,16,1907,-1,64,64,16,1827,64,15,19,22,18,21,27,27,27,27,25,27,26
26,24,KADUNC David,SALOMON TEAM - TEKASKI FORUM,SE H,27,SI,25:35:39,05:00:42,891,1250,2037,2408,2581,2891,,4316,4994,5509,6100,7434,8515,8974,9686,10531,12332,13535,14512,15821,16653,17490,17928,18042,2437,2015,129,2239,2025,16,-1,20,10,64,12,12,1885,1826,21,21,56,30,23,31,31,31,26,27
27,3269,SAEZ MARQUES Francisco,GR33-TOTTRAIL,SE H,28,ES,25:40:27,05:05:30,1052,1430,2555,3558,4211,4595,,6420,7575,8000,8570,10493,11476,12035,12748,13241,14176,15265,16101,17135,17647,18263,18470,18330,17,1711,1907,2056,2058,2026,-1,7,16,1823,16,15,30,22,56,31,1711,24,30,29,29,26,28,28
28,2246,DROZ Gaël,CLUB ATHLETIQUE COURTELARY,SE H,29,CH,25:47:12,05:12:15,484,703,1140,1746,2280,2503,,3885,4569,5121,5653,7446,8868,9418,9986,11020,12751,14164,15195,16145,17044,17996,18565,18735,14,14,2024,16,2015,36,-1,2177,1827,12,11,129,22,30,30,56,24,33,33,30,30,29,29,29
29,4486,SOLE DUOCASTELLA Francesc,A.E.MATXACUCA,SE H,30,ES,25:59:30,05:24:33,428,633,1073,1712,2017,2368,,3907,4735,5282,5805,7093,7808,8442,9417,10274,12144,13733,14791,16203,17162,18333,18838,19473,2243,17,2016,20,20,20,-1,2055,2059,2055,64,1827,1805,56,33,30,33,23,29,33,33,28,30,30
30,33,GIRAUD-SAUVEUR Herve,TEAM LAFUMA,V1 H,31,FR,26:07:15,05:32:18,238,453,662,889,1256,1622,,2453,2732,3175,3520,4537,6507,7181,8172,9959,12259,14397,15413,16019,16706,17888,18976,19938,2188,2437,2189,129,129,2059,-1,16,11,11,19,21,64,21,18,1712,30,29,31,28,25,30,31,31
