pos,bib,name,team,category,rank,nationality,time,timediff,Delevret,St-Gervais,Contamines,La Balme,Bonhomme,Chapieux,Col Seigne,Lac Combal,Mt-Favre,Checruit,Courmayeur,Bertone,Bonatti,Arnouvaz,Col Ferret,La Fouly,Champex La,La Giète,Trient,Les Tseppe,Vallorcine,Col Montet,Flégère,Arrivée,delevret_pos,st-gervais_pos,contamines_pos,la balme_pos,bonhomme_pos,chapieux_pos,col seigne_pos,lac combal_pos,mt-favre_pos,checruit_pos,courmayeur_pos,bertone_pos,bonatti_pos,arnouvaz_pos,col ferret_pos,la fouly_pos,champex la_pos,la giète_pos,trient_pos,les tseppe_pos,vallorcine_pos,col montet_pos,flégère_pos,arrivée_pos
0,4,D'HAENE François,Salomon,SE H,1,FR,19:01:54,00:00:00,113,170,84,20,24,26,0,41,297,317,224,159,0,6,2,0,0,0,0,0,0,0,0,0,9,5,5,5,5,5,1,5,5,5,5,5,1,5,4,1,1,1,1,1,1,1,1,1
1,2,JORNET BURGADA Kilian,Salomon,SE H,2,ES,19:16:59,00:15:05,3,126,76,25,95,94,2,44,299,324,255,340,268,375,464,494,572,1081,983,1019,841,859,978,905,5,2,2,1,1,1,5,1,1,1,1,1,5,1,1,5,2,2,2,2,2,2,2,2
2,14,TOLLEFSON Tim,Hoka,SE H,3,US,19:53:00,00:51:06,327,383,332,510,801,1020,1369,1530,1927,2053,2119,2278,2247,2263,-,2506,2643,3050,2821,2999,2912,2941,3272,3066,2,1,1,2,2,2,2,2,2,2,2,2,2,2,-1,2,5,3,3,3,3,3,3,3
3,7,THEVENARD Xavier,Asics,SE H,4,FR,20:03:39,01:01:45,114,173,86,25,623,858,1388,1655,2100,2239,2360,2792,2878,3120,3487,3393,3504,3829,3834,3978,3847,3802,3895,3705,1,4,4,4,9,9,9,9,9,9,6,6,6,7,2,3,3,7,7,7,5,5,4,4
4,1,WALMSLEY Jim,Hoka,SE H,5,US,20:11:38,01:09:44,2,0,0,0,0,0,1,0,0,0,0,0,6,0,0,325,1842,4558,4233,4111,3650,3789,4226,4184,4,1694,9,8,6,6,6,6,6,6,9,8,7,3,5,7,7,6,6,4,4,4,5,5
5,17,CAPELL Pau,The North Face / Buff,SE H,6,ES,20:12:43,01:10:49,199,271,252,233,492,708,996,1127,1611,1627,1594,1941,2134,2413,3044,3328,3505,3822,3812,3981,3970,4081,4551,4249,1958,6,1960,9,8,4,8,8,7,7,7,7,3,6,7,6,4,4,4,6,7,7,6,6
6,9,BOWMAN Dylan,The North Face,SE H,7,US,20:19:48,01:17:54,261,405,397,510,799,1040,1347,1531,1923,2051,2118,2213,2144,2224,-,2860,3229,3595,3548,3914,3869,4052,4692,4674,6,1959,6,6,4,8,7,3,3,3,3,3,9,9,-1,4,6,5,5,5,6,6,7,7
7,13,GRINIUS Gediminas,VIBRAM,SE H,8,LT,21:24:19,02:22:25,257,366,304,172,608,876,1206,1434,1999,2212,2431,-,3451,3757,4423,4819,5467,6344,6508,7116,7451,7687,8492,8545,1694,9,8,10,10,10,3,7,8,8,4,-1,4,4,3,9,9,9,9,9,9,9,8,8
8,8,MILLER Zach,THE NORTH FACE,SE H,9,US,21:28:32,02:26:38,0,333,230,192,329,682,792,1027,1470,1616,1743,2193,2443,2944,3484,3875,4337,4874,5212,5939,6565,7583,8576,8798,8,17,1695,3,7,3,4,4,4,4,8,4,8,8,6,8,8,8,8,8,8,8,9,9
9,32,GAMITO  Jordi,COMPRESSPORT,SE H,10,ES,21:44:31,02:42:37,331,369,325,444,791,997,1705,1945,2613,2775,2830,3561,4035,4398,5030,5122,6190,7297,7229,7741,8000,8307,9319,9757,7,13,10,7,3,7,1698,10,1947,10,10,1700,10,1705,8,10,1705,12,10,10,10,10,10,10
10,33,HAWKER Scott,HOKA ONE ONE/ COMPRESSPORT,SE H,11,NZ,21:55:47,02:53:53,322,503,685,1211,1621,2068,2604,2951,3521,3801,4070,5124,5418,5663,6128,6710,7625,8645,8589,8764,9279,9603,10477,10433,17,8,1705,1960,1953,1705,10,1959,1696,1959,1959,1953,1702,10,1699,1705,10,10,12,12,12,12,11,11
11,84,HALL Damian,INOV-8,V1 H,12,GB,22:00:32,02:58:38,536,885,1219,1745,2244,2538,3211,3446,4071,4294,4466,4800,4892,4966,5510,5508,6399,7275,7258,8078,8301,8983,10554,10718,129,51,3,1705,1699,1959,1950,1705,10,1705,1705,9,1956,12,10,12,12,13,13,11,11,11,12,12
12,20,HERMANSEN Didrik,ASICS,SE H,13,NO,22:12:18,03:10:24,295,361,441,811,1614,1839,2810,3167,4034,4040,4012,-,5585,5849,6651,6667,7111,8345,8318,9215,9688,-,11327,11424,1704,10,7,1968,1961,1967,1958,1967,1955,1967,1967,-1,1692,15,13,15,1695,16,11,13,13,-1,13,13
13,18,LANEY David,NIKE TRAIL,SE H,14,US,22:20:22,03:18:28,398,726,1001,1192,1624,2312,3131,3749,4550,5292,5793,6420,6917,7156,7746,8134,8752,9323,9544,9782,10264,10438,11532,11908,51,1704,51,1967,1960,17,17,1966,1686,1695,1695,1690,1964,1695,1689,1695,16,11,15,15,15,13,14,14
14,40,PASERO Mikael,New Balance,SE H,15,FR,22:28:34,03:26:40,366,499,679,1000,1610,1828,2558,2795,3437,3640,3779,4385,4826,5018,5680,6015,7481,8866,8994,9633,10245,10792,12023,12400,1965,130,13,13,17,1966,1957,1695,15,1966,1966,1961,15,1959,9,16,13,15,16,14,14,14,15,15
15,15,SYMONDS Andrew,SCOTT,SE H,16,GB,22:36:32,03:34:38,531,885,1227,1672,2274,2459,3222,3453,4069,4290,4476,5134,5427,5670,6185,6284,6950,8635,9033,10124,10832,11255,12343,12878,33,3,1968,51,33,1695,1688,17,1954,15,15,15,12,1966,14,13,15,33,14,16,16,15,16,16
16,44,CHORIER Julien,TEAM HOKA,SE H,17,FR,22:42:13,03:40:19,264,357,603,942,1435,1619,2483,2745,3518,3795,3926,4383,5214,5847,6541,6957,8172,9782,10254,11033,11916,12324,12943,13219,13,1966,1967,1695,1689,15,15,15,17,17,17,13,17,11,1954,11,11,14,33,33,33,32,17,17
17,53,FERNANDES Luís,LUDENS CLUBE MACHICO,SE H,18,PT,22:49:07,03:47:13,432,726,1057,1529,2218,2829,3807,4144,4909,5274,5574,6349,6745,7162,7674,8278,9324,10690,11194,11812,12306,12811,13718,13633,11,33,33,17,15,13,11,33,11,11,13,1960,33,16,31,33,33,1699,17,17,17,16,19,18
18,163,DAVID Benjamin,-,SE H,19,FR,22:51:04,03:49:10,843,1159,1734,2665,3302,3681,4738,5172,6094,6403,6653,7675,8075,8319,9035,9427,10177,11162,11334,11796,12122,12391,13454,13750,3,2188,2189,33,13,33,33,11,33,33,33,11,1963,33,15,17,17,17,20,19,19,18,18,19
19,51,BROWNING Jeff,-,V1 H,20,US,22:55:52,03:53:58,698,1011,1584,2248,2918,3311,4440,4762,5522,5730,6082,6891,7214,7495,7906,8025,9126,10655,10896,11847,12485,13100,13988,14038,1966,7,17,15,11,11,13,13,50,13,11,31,11,17,11,1704,14,20,18,18,18,17,20,20
20,43,ORNATI Giulio,TEAM SALOMON ISOSTAD,SE H,21,IT,23:08:34,04:06:40,449,661,1027,1487,2101,2367,3402,3734,4507,4923,5157,6127,6891,7266,7749,8283,9431,11305,11518,12272,12739,13372,14601,14800,10,1967,15,50,14,50,50,50,13,16,12,10,16,13,16,20,1704,18,19,20,20,19,21,21
21,91,LARROTCHA Juan Jose,MURCIA CHALLENGE,V1 H,22,ES,23:27:25,04:25:31,575,930,1416,2108,3148,3630,4821,5249,6196,6624,7058,8086,8721,9172,9874,10300,11229,12941,13189,13908,14276,14541,15453,15931,50,1804,11,14,51,51,14,12,16,12,16,14,13,1965,12,14,20,1689,21,21,21,20,33,22
22,74,BERNAD BLASCO Victor,AML SPORT HG - MERIDIANO 0,V1 H,23,ES,23:30:51,04:28:57,925,1158,1657,2234,2847,3119,4373,4627,5505,5827,6001,7282,8509,8966,9968,10117,10925,12471,12895,13717,14298,14694,16007,16137,2187,15,2300,11,50,14,12,16,12,50,50,48,18,14,19,18,18,1698,25,23,26,21,22,23
23,108,DIOGO Leonardo,MADEIRA ULTRA RUNNERS/CAMADEIRA,V2 H,24,PT,23:31:23,04:29:29,680,1233,1881,2439,3033,3665,4677,5336,6327,6881,7297,8157,8702,9350,10249,10973,12285,13770,14180,14570,15007,15375,16100,16169,15,11,50,2189,48,21,16,21,21,21,21,19,21,18,48,21,25,19,1704,25,25,22,23,24
24,90,DOI Takashi,-,SE H,25,JP,23:36:47,04:34:53,869,1109,1551,2230,2994,3358,4132,4423,5105,5342,5550,6826,7138,7447,8077,8308,9395,12188,12456,13751,14266,14887,16219,16493,1803,50,130,48,21,48,48,14,14,48,48,16,14,21,1698,25,21,21,23,26,22,24,24,25
25,81,GRASEL Florian,TRAILBEARD 4 BOA RUNNING TEAM,SE H,26,AT,23:42:45,04:40:51,912,1223,1676,2414,2974,3321,4478,4810,5555,5831,6107,6978,7559,8098,8901,9355,10597,12469,13144,13786,14255,15025,16267,16851,2298,2299,48,2188,2180,2187,51,48,48,1704,1704,46,48,25,18,1707,1707,25,26,22,23,25,25,26
26,85,FREITAS Francisco,-,V1 H,27,PT,23:44:56,04:43:02,683,1238,1822,2505,3151,3666,4835,5283,6136,6464,6796,7866,8465,8958,9753,10244,11408,13092,13642,14278,15132,15818,16781,16982,14,21,2188,21,18,16,21,2187,1695,18,1707,12,25,20,23,51,19,1701,22,27,24,23,26,27
27,94,SCHJØLBERG Hallvard,Lofoten Ultraloperklubb // The Arctic Triple Team,V1 H,28,NO,23:48:15,04:46:21,853,1266,1691,1895,2379,2996,3777,4176,4893,5341,5937,7390,8216,8978,9925,10465,11608,13164,13792,14918,15798,16126,16812,17181,2195,48,14,2300,2181,12,2178,1704,28,14,25,1699,1701,51,1701,26,26,26,29,29,29,26,27,28
28,106,VINAGRE CRUZ Alberto,BTR PROTEAM,SE H,29,ES,23:50:15,04:48:21,588,934,1316,1986,2850,3428,4706,5055,5893,6246,6695,8267,8965,9442,10373,10544,11371,12895,13484,14389,15094,15938,17071,17301,32,2187,1805,18,12,2188,28,51,18,1707,18,49,20,1704,45,19,51,23,27,24,27,28,28,29
29,155,PARRA HERNANDEZ Vicente,PEDREZUELA HAGLOFS,SE H,30,ES,24:12:38,05:10:44,544,934,1388,2268,2984,3427,4794,5277,6092,6400,6856,8023,8854,9440,10566,10702,11942,14241,14526,15153,15713,16366,17683,18644,18,2196,21,16,16,1801,18,18,1698,28,1971,23,51,1707,24,48,23,51,28,28,30,27,29,30
30,162,CAUCHON Jean-Francois,-,SE H,31,CA,24:18:57,05:17:03,1024,1366,2263,3845,4850,5389,6823,7260,8380,8647,8960,10477,11227,11664,13005,13127,14084,15665,15895,16710,17189,17813,19006,19023,21,14,18,12,32,18,1697,28,1959,25,14,1965,1704,48,17,23,22,29,1695,30,28,29,30,31
